,MPG,FG%,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,FTM,FTA,FGM,FGA
B. Wanamaker,17.266666666666666,0.385,0.8909999999999999,0.3,5.5,1.7,2.9,0.7,0.2,-1.2,1.5,1.7,1.9,4.9
J. Culver,14.7,0.411,0.604,0.4,5.3,3.1,0.7,0.5,0.3,-0.8,0.9,1.4,2.0,4.9
D. Vassell,17.05,0.406,0.843,0.8,5.5,2.8,0.9,0.7,0.3,-0.4,0.7,0.8,2.0,4.9
F. Campazzo,21.9,0.381,0.879,1.2,6.1,2.1,3.6,1.2,0.2,-1.1,1.2,1.4,1.8,4.8
R. Rondo,17.083333333333332,0.442,0.941,0.8,5.4,2.4,4.4,0.8,0.1,-1.8,0.4,0.4,2.1,4.8
C. Brown,16.766666666666666,0.302,0.9,0.6,4.4,1.9,1.0,0.4,0.2,-0.7,1.0,1.1,1.4,4.8
A. Nader,14.666666666666664,0.491,0.757,0.8,6.7,2.6,0.8,0.4,0.4,-0.8,1.2,1.5,2.4,4.8
C. Martin,16.316666666666666,0.441,0.581,0.3,4.0,3.1,1.7,0.7,0.2,-0.8,0.5,0.8,1.6,3.6
D. Wilson,12.416666666666664,0.405,0.68,0.9,5.2,3.2,0.7,0.3,0.5,-0.6,0.5,0.7,1.9,4.8
D. Lee,18.95,0.467,0.909,1.4,6.5,3.2,1.3,0.7,0.1,-0.5,0.7,0.8,2.2,4.8
M. Strus,13.016666666666667,0.455,0.667,1.3,6.1,1.1,0.6,0.3,0.1,-0.2,0.4,0.6,2.2,4.8
J. Hayes,16.016666666666666,0.625,0.775,0.1,7.5,4.3,0.6,0.4,0.6,-0.7,1.6,2.0,2.9,4.7
G. Vincent,13.166666666666664,0.378,0.87,0.9,4.8,1.1,1.3,0.4,0.0,-0.7,0.4,0.5,1.8,4.7
J. Hall,16.0,0.303,0.5,0.2,4.1,2.8,1.3,0.2,0.0,-1.2,1.0,2.1,1.4,4.7
J. McLaughlin,,,,,,,,,,,,,,
B. Goodwin,13.166666666666664,0.377,0.6509999999999999,0.7,4.9,1.5,2.0,0.4,0.0,-0.8,0.6,0.9,1.8,4.7
R. Hood,17.116666666666667,0.362,0.857,0.6,4.5,1.9,1.0,0.4,0.1,-0.7,0.4,0.5,1.7,4.7
T. Bradley,16.3,0.665,0.691,0.0,7.1,5.7,0.9,0.4,0.7,-0.8,0.9,1.3,3.1,4.7
T. Johnson,17.533333333333335,0.393,0.857,1.2,5.4,2.0,1.2,0.4,0.0,-0.4,0.5,0.5,1.8,4.7
J. Hoard,16.733333333333334,0.5,0.6829999999999999,0.0,6.1,3.4,1.3,0.7,0.3,-0.9,1.5,2.2,2.3,4.6
